NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
430	366.906	3.565	71.504	3.02	0.002	1.0	20000.0
431	447.49	4.364	97.716	4.227	0.002	0.999	20000.0
432	386.88	3.757	65.752	2.794	0.002	0.999	20000.0
433	330.43	3.215	57.35	2.437	0.002	1.0	30000.0
434	356.192	3.467	64.26	2.716	0.002	0.999	20000.0
435	401.279	3.893	84.47	3.564	0.002	0.999	30000.0
436	443.568	4.327	72.72	3.094	0.002	1.0	20000.0
437	334.827	3.248	66.013	2.802	0.002	0.999	20000.0
438	383.787	3.726	76.749	3.273	0.002	0.999	20000.0
439	417.996	4.091	91.247	3.947	0.002	0.999	20000.0
440	433.607	4.246	79.431	3.367	0.002	0.999	20000.0
441	380.015	3.702	62.662	2.646	0.002	0.999	30000.0
442	370.953	3.595	78.835	3.36	0.002	0.999	20000.0
443	401.66	3.931	75.106	3.223	0.002	0.999	20000.0
444	438.09	4.259	84.718	3.636	0.002	0.999	20000.0
445	425.403	4.133	83.924	3.532	0.002	1.0	20000.0
446	388.208	3.774	79.487	3.386	0.002	0.999	20000.0
447	412.578	4.014	79.972	3.389	0.002	0.999	30000.0
448	383.635	3.718	71.274	3.019	0.002	0.999	20000.0
449	380.922	3.696	74.76	3.201	0.002	0.999	20000.0
450	348.895	3.39	62.991	2.679	0.002	1.0	20000.0
451	358.513	3.473	75.185	3.205	0.002	0.999	20000.0
452	342.036	3.336	63.838	2.68	0.002	0.999	20000.0
453	362.994	3.55	67.466	2.875	0.002	1.0	30000.0
454	442.028	4.294	89.713	3.747	0.002	0.999	20000.0
455	363.506	3.559	62.317	2.633	0.002	1.0	30000.0
456	382.702	3.71	78.302	3.263	0.002	0.999	40000.0
457	372.313	3.651	67.473	2.922	0.002	0.999	20000.0
458	351.202	3.41	62.762	2.644	0.002	0.999	20000.0
459	339.814	3.302	77.317	3.272	0.001	1.0	30000.0
460	409.958	4.011	71.785	3.068	0.002	1.0	20000.0
461	425.095	4.145	83.762	3.567	0.002	1.0	20000.0
462	334.467	3.274	56.086	2.373	0.002	1.0	30000.0
463	423.935	4.108	86.588	3.645	0.002	0.999	20000.0
464	345.523	3.37	63.771	2.657	0.002	0.999	20000.0
465	356.226	3.459	61.813	2.617	0.002	1.0	20000.0
466	374.464	3.629	90.614	3.882	0.002	0.999	20000.0
467	420.896	4.088	71.112	3.012	0.002	1.0	20000.0
468	385.327	3.775	70.75	3.037	0.002	0.999	30000.0
469	425.495	4.146	89.117	3.817	0.002	0.999	20000.0
470	364.925	3.563	69.171	2.961	0.002	0.999	30000.0
471	382.407	3.749	65.834	2.829	0.002	0.999	40000.0
472	456.412	4.446	95.198	4.052	0.002	0.999	30000.0
473	311.826	3.023	52.511	2.233	0.002	1.0	30000.0
474	368.115	3.601	64.461	2.764	0.002	1.0	30000.0
475	317.378	3.075	75.513	3.2	0.002	0.999	20000.0
476	423.552	4.147	77.457	3.332	0.002	0.999	20000.0
477	422.545	4.11	79.787	3.4	0.002	0.999	20000.0
478	324.894	3.169	58.267	2.488	0.002	0.999	30000.0
479	383.449	3.725	87.771	3.713	0.002	0.999	20000.0
480	359.805	3.513	57.13	2.397	0.002	1.0	20000.0
481	397.89	3.884	72.976	3.115	0.002	1.0	30000.0
482	384.949	3.766	63.728	2.691	0.002	1.0	20000.0
483	377.132	3.666	68.089	2.868	0.002	1.0	20000.0
484	409.018	3.987	70.259	2.968	0.002	0.999	20000.0
485	331.426	3.217	53.348	2.27	0.002	1.0	20000.0
486	404.245	3.965	75.919	3.259	0.002	0.999	30000.0
487	355.981	3.463	58.818	2.502	0.002	1.0	20000.0
488	298.067	2.889	51.826	2.195	0.001	0.999	30000.0
489	375.27	3.649	71.472	3.028	0.002	1.0	20000.0
490	400.725	3.902	70.231	2.916	0.002	0.999	30000.0
491	335.037	3.285	52.285	2.251	0.002	0.999	30000.0
492	352.322	3.416	61.922	2.607	0.002	0.999	30000.0
493	412.883	4.003	111.087	4.67	0.002	0.999	20000.0
494	378.009	3.666	84.988	3.615	0.002	0.999	20000.0
495	339.998	3.306	61.291	2.612	0.002	1.0	20000.0
496	353.361	3.449	59.063	2.499	0.002	0.999	20000.0
497	396.362	3.878	62.791	2.689	0.002	1.0	20000.0
498	368.145	3.598	73.775	3.165	0.002	0.999	30000.0
499	344.579	3.362	56.42	2.373	0.002	0.999	20000.0
500	400.775	3.91	85.444	3.672	0.002	0.999	30000.0
