NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
267	0.191	0.006	0.135	0.023	0.0	1.0	20000.0
268	0.421	0.014	0.282	0.047	0.0	1.0	30000.0
269	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
270	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
271	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
272	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
273	0.205	0.007	0.145	0.024	0.0	1.0	40000.0
274	4.378	0.143	2.121	0.355	0.0	1.0	20000.0
275	0.285	0.009	0.202	0.034	0.0	1.0	20000.0
276	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
277	0.458	0.015	0.314	0.053	0.0	1.0	50000.0
278	1.004	0.033	0.708	0.12	0.0	1.0	30000.0
279	0.103	0.003	0.073	0.012	0.0	1.0	20000.0
280	0.771	0.025	0.394	0.066	0.0	1.0	50000.0
281	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
282	0.748	0.024	0.395	0.066	0.0	1.0	50000.0
283	0.5	0.016	0.353	0.058	0.0	1.0	20000.0
284	1.187	0.039	0.669	0.116	0.0	1.0	40000.0
285	1.466	0.048	0.778	0.13	0.0	1.0	30000.0
286	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
287	2.721	0.089	1.593	0.272	0.0	1.0	20000.0
288	0.965	0.032	0.602	0.104	0.0	1.0	40000.0
289	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
290	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
291	0.005	0.0	0.003	0.001	0.0	1.0	30000.0
292	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
293	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
294	1.699	0.056	1.136	0.192	0.0	1.0	20000.0
295	0.0	0.0	0.0	0.0	0.0	1.0	40000.0
296	2.279	0.075	0.919	0.156	0.0	1.0	20000.0
297	0.004	0.0	0.002	0.0	0.0	1.0	20000.0
298	1.03	0.034	0.515	0.088	0.0	1.0	30000.0
299	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
300	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
301	1.894	0.062	1.108	0.192	0.0	1.0	20000.0
302	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
303	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
304	2.23	0.073	1.136	0.195	0.0	1.0	20000.0
305	0.445	0.015	0.314	0.055	0.0	1.0	20000.0
306	0.078	0.003	0.055	0.009	0.0	1.0	30000.0
307	1.939	0.063	1.09	0.181	0.0	1.0	40000.0
308	0.125	0.004	0.086	0.014	0.0	1.0	30000.0
309	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
310	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
311	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
312	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
313	3.252	0.107	1.563	0.273	0.0	1.0	20000.0
314	0.267	0.009	0.189	0.032	0.0	1.0	30000.0
315	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
316	0.326	0.011	0.211	0.035	0.0	1.0	30000.0
317	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
318	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
319	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
320	0.148	0.005	0.105	0.018	0.0	1.0	30000.0
321	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
322	0.393	0.013	0.27	0.045	0.0	1.0	30000.0
323	3.942	0.128	2.161	0.365	0.0	1.0	20000.0
324	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
325	1.265	0.041	0.759	0.128	0.0	1.0	40000.0
326	0.152	0.005	0.1	0.017	0.0	1.0	20000.0
327	0.287	0.009	0.192	0.032	0.0	1.0	30000.0
328	5.809	0.19	2.455	0.412	0.0	1.0	20000.0
329	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
330	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
331	0.0	0.0	0.0	0.0	0.0	1.0	40000.0
332	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
333	0.768	0.025	0.47	0.08	0.0	1.0	40000.0
334	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
335	1.948	0.064	1.053	0.181	0.0	1.0	20000.0
336	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
337	1.03	0.033	0.729	0.121	0.0	1.0	20000.0
338	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
339	3.649	0.12	1.841	0.314	0.0	1.0	40000.0
340	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
341	0.145	0.005	0.089	0.015	0.0	1.0	50000.0
342	0.375	0.012	0.253	0.043	0.0	1.0	60000.0
343	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
344	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
345	0.19	0.006	0.135	0.023	0.0	1.0	20000.0
346	0.281	0.009	0.199	0.034	0.0	1.0	20000.0
347	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
348	0.058	0.002	0.041	0.007	0.0	1.0	30000.0
349	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
350	3.096	0.102	1.578	0.276	0.0	1.0	20000.0
351	0.0	0.0	0.0	0.0	0.0	1.0	40000.0
352	0.595	0.02	0.367	0.063	0.0	1.0	50000.0
353	3.356	0.11	1.749	0.292	0.0	1.0	30000.0
354	1.333	0.044	0.943	0.163	0.0	1.0	20000.0
355	1.946	0.063	1.034	0.17	0.0	1.0	20000.0
356	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
357	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
358	0.364	0.012	0.257	0.045	0.0	1.0	20000.0
359	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
360	0.508	0.017	0.291	0.05	0.0	1.0	20000.0
361	0.0	0.0	0.0	0.0	0.0	1.0	50000.0
362	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
363	2.606	0.086	1.602	0.271	0.0	1.0	20000.0
364	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
365	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
366	0.506	0.017	0.293	0.05	0.0	1.0	30000.0
367	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
368	0.148	0.005	0.088	0.015	0.0	1.0	30000.0
369	1.081	0.035	0.639	0.109	0.0	1.0	50000.0
370	0.333	0.011	0.235	0.04	0.0	1.0	40000.0
371	0.09	0.003	0.046	0.008	0.0	1.0	50000.0
372	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
373	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
374	4.285	0.14	2.036	0.346	0.0	1.0	20000.0
375	0.444	0.014	0.314	0.05	0.0	1.0	40000.0
376	2.414	0.079	1.251	0.213	0.0	1.0	20000.0
377	0.602	0.019	0.426	0.071	0.0	1.0	30000.0
