NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
399	1206.453	2.013	158.838	2.298	0.0	0.998	20000.0
400	1320.8	2.21	172.727	2.517	0.0	0.998	20000.0
401	1295.538	2.168	170.816	2.482	0.0	0.998	20000.0
402	1333.269	2.226	181.212	2.627	0.001	0.998	20000.0
403	1199.162	2.003	157.654	2.285	0.0	0.998	20000.0
404	1341.485	2.242	173.618	2.522	0.0	0.998	20000.0
405	1254.737	2.098	161.798	2.35	0.0	0.999	20000.0
406	1274.695	2.14	172.715	2.522	0.0	0.998	30000.0
407	1261.383	2.112	169.019	2.462	0.0	0.998	20000.0
408	1309.422	2.193	169.023	2.461	0.0	0.998	20000.0
409	1358.63	2.279	186.627	2.715	0.0	0.998	20000.0
410	1114.502	1.861	151.955	2.2	0.0	0.999	30000.0
411	1171.733	1.959	156.167	2.273	0.0	0.999	20000.0
412	1217.783	2.032	165.537	2.396	0.0	0.998	20000.0
413	1191.363	1.995	160.357	2.333	0.0	0.998	20000.0
414	1176.145	1.965	154.977	2.249	0.0	0.999	20000.0
415	1272.194	2.125	167.489	2.435	0.0	0.998	20000.0
416	1164.755	1.949	151.484	2.199	0.0	0.999	20000.0
417	1199.011	2.003	154.395	2.234	0.0	0.999	20000.0
418	1129.753	1.887	153.571	2.23	0.0	0.998	20000.0
419	964.746	1.611	127.49	1.847	0.0	0.999	20000.0
420	1087.064	1.816	141.403	2.052	0.0	0.999	20000.0
421	1122.653	1.875	152.729	2.215	0.0	0.998	20000.0
422	1194.72	2.009	158.735	2.322	0.0	0.998	20000.0
423	1155.536	1.931	158.654	2.303	0.0	0.998	20000.0
424	1302.381	2.177	170.068	2.471	0.0	0.998	20000.0
425	1176.076	1.964	157.748	2.285	0.0	0.998	20000.0
426	1190.996	1.989	161.104	2.335	0.0	0.998	20000.0
427	1354.151	2.265	173.478	2.522	0.0	0.999	20000.0
428	1310.722	2.192	179.17	2.602	0.001	0.998	20000.0
429	1252.142	2.091	169.778	2.466	0.0	0.998	30000.0
430	1248.485	2.088	162.251	2.359	0.0	0.999	20000.0
431	1167.112	1.948	154.825	2.245	0.0	0.998	30000.0
432	1236.938	2.065	174.869	2.536	0.0	0.998	20000.0
433	1099.425	1.839	148.312	2.152	0.0	0.999	20000.0
434	1181.808	1.978	164.901	2.4	0.0	0.998	20000.0
435	1253.972	2.099	173.873	2.529	0.0	0.998	20000.0
436	1137.83	1.9	151.404	2.202	0.0	0.999	20000.0
437	1107.831	1.848	143.714	2.078	0.0	0.999	20000.0
438	1249.922	2.09	172.952	2.514	0.0	0.998	30000.0
439	1112.038	1.858	149.35	2.168	0.0	0.999	20000.0
440	1247.058	2.083	164.538	2.385	0.0	0.998	20000.0
441	1210.465	2.022	152.508	2.208	0.0	0.999	20000.0
442	1417.696	2.382	216.493	3.157	0.001	0.998	40000.0
443	1098.961	1.835	147.676	2.141	0.0	0.999	20000.0
444	1166.57	1.946	153.039	2.219	0.0	0.998	20000.0
445	1317.096	2.205	174.446	2.541	0.0	0.998	20000.0
446	1100.844	1.84	146.081	2.12	0.0	0.999	30000.0
447	1334.751	2.228	171.934	2.488	0.001	0.998	20000.0
448	1228.686	2.051	173.455	2.517	0.0	0.998	20000.0
449	1322.414	2.213	177.677	2.584	0.0	0.998	20000.0
450	1463.248	2.449	189.859	2.766	0.001	0.998	20000.0
451	1130.52	1.887	148.316	2.146	0.0	0.999	20000.0
